roc_auc,average_precision,precision,recall,f1,brier_score,true_negatives,false_positives,false_negatives,true_positives,threshold,expected_cost,cost_per_1000
0.9819944282060651,0.8672691164427172,0.72,0.7941176470588235,0.7552447552447552,0.010850868125438902,1911,21,14,54,0.32,371.0,185.5
0.9819944282060651,0.8672691164427172,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.010850868125438902,1912,20,14,54,0.33,370.0,185.0
0.9819944282060651,0.8672691164427172,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.010850868125438902,1912,20,14,54,0.34,370.0,185.0
0.9819944282060651,0.8672691164427172,0.7297297297297297,0.7941176470588235,0.7605633802816901,0.010850868125438902,1912,20,14,54,0.35000000000000003,370.0,185.0
0.9819944282060651,0.8672691164427172,0.7397260273972602,0.7941176470588235,0.7659574468085106,0.010850868125438902,1913,19,14,54,0.36000000000000004,369.0,184.5
0.9819944282060651,0.8672691164427172,0.7605633802816901,0.7941176470588235,0.7769784172661871,0.010850868125438902,1915,17,14,54,0.37,367.0,183.5
0.9819944282060651,0.8672691164427172,0.7605633802816901,0.7941176470588235,0.7769784172661871,0.010850868125438902,1915,17,14,54,0.38,367.0,183.5
0.9819944282060651,0.8672691164427172,0.7605633802816901,0.7941176470588235,0.7769784172661871,0.010850868125438902,1915,17,14,54,0.39,367.0,183.5
0.9819944282060651,0.8672691164427172,0.7714285714285715,0.7941176470588235,0.782608695652174,0.010850868125438902,1916,16,14,54,0.4,366.0,183.0
0.9819944282060651,0.8672691164427172,0.7714285714285715,0.7941176470588235,0.782608695652174,0.010850868125438902,1916,16,14,54,0.41000000000000003,366.0,183.0
0.9819944282060651,0.8672691164427172,0.782608695652174,0.7941176470588235,0.7883211678832117,0.010850868125438902,1917,15,14,54,0.42000000000000004,365.0,182.5
0.9819944282060651,0.8672691164427172,0.782608695652174,0.7941176470588235,0.7883211678832117,0.010850868125438902,1917,15,14,54,0.43,365.0,182.5
0.9819944282060651,0.8672691164427172,0.782608695652174,0.7941176470588235,0.7883211678832117,0.010850868125438902,1917,15,14,54,0.44,365.0,182.5
0.9819944282060651,0.8672691164427172,0.782608695652174,0.7941176470588235,0.7883211678832117,0.010850868125438902,1917,15,14,54,0.45,365.0,182.5
0.9819944282060651,0.8672691164427172,0.782608695652174,0.7941176470588235,0.7883211678832117,0.010850868125438902,1917,15,14,54,0.46,365.0,182.5
0.9819944282060651,0.8672691164427172,0.782608695652174,0.7941176470588235,0.7883211678832117,0.010850868125438902,1917,15,14,54,0.47000000000000003,365.0,182.5
0.9819944282060651,0.8672691164427172,0.782608695652174,0.7941176470588235,0.7883211678832117,0.010850868125438902,1917,15,14,54,0.48000000000000004,365.0,182.5
0.9819944282060651,0.8672691164427172,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.010850868125438902,1918,14,14,54,0.49,364.0,182.0
0.9819944282060651,0.8672691164427172,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.010850868125438902,1918,14,14,54,0.5,364.0,182.0
0.9819944282060651,0.8672691164427172,0.7910447761194029,0.7794117647058824,0.7851851851851852,0.010850868125438902,1918,14,15,53,0.51,389.0,194.5
0.9819944282060651,0.8672691164427172,0.803030303030303,0.7794117647058824,0.7910447761194029,0.010850868125438902,1919,13,15,53,0.52,388.0,194.0
0.9819944282060651,0.8672691164427172,0.8153846153846154,0.7794117647058824,0.7969924812030075,0.010850868125438902,1920,12,15,53,0.53,387.0,193.5
0.9819944282060651,0.8672691164427172,0.828125,0.7794117647058824,0.803030303030303,0.010850868125438902,1921,11,15,53,0.54,386.0,193.0
0.9819944282060651,0.8672691164427172,0.828125,0.7794117647058824,0.803030303030303,0.010850868125438902,1921,11,15,53,0.55,386.0,193.0
0.9819944282060651,0.8672691164427172,0.828125,0.7794117647058824,0.803030303030303,0.010850868125438902,1921,11,15,53,0.56,386.0,193.0
0.9819944282060651,0.8672691164427172,0.828125,0.7794117647058824,0.803030303030303,0.010850868125438902,1921,11,15,53,0.5700000000000001,386.0,193.0
0.9819944282060651,0.8672691164427172,0.828125,0.7794117647058824,0.803030303030303,0.010850868125438902,1921,11,15,53,0.5800000000000001,386.0,193.0
0.9819944282060651,0.8672691164427172,0.828125,0.7794117647058824,0.803030303030303,0.010850868125438902,1921,11,15,53,0.59,386.0,193.0
0.9819944282060651,0.8672691164427172,0.828125,0.7794117647058824,0.803030303030303,0.010850868125438902,1921,11,15,53,0.6,386.0,193.0
0.9819944282060651,0.8672691164427172,0.8387096774193549,0.7647058823529411,0.8,0.010850868125438902,1922,10,16,52,0.61,410.0,205.0
0.9819944282060651,0.8672691164427172,0.8387096774193549,0.7647058823529411,0.8,0.010850868125438902,1922,10,16,52,0.62,410.0,205.0
0.9819944282060651,0.8672691164427172,0.8524590163934426,0.7647058823529411,0.8062015503875969,0.010850868125438902,1923,9,16,52,0.63,409.0,204.5
0.9819944282060651,0.8672691164427172,0.8666666666666667,0.7647058823529411,0.8125,0.010850868125438902,1924,8,16,52,0.64,408.0,204.0
0.9819944282060651,0.8672691164427172,0.8813559322033898,0.7647058823529411,0.8188976377952756,0.010850868125438902,1925,7,16,52,0.65,407.0,203.5
0.9819944282060651,0.8672691164427172,0.896551724137931,0.7647058823529411,0.8253968253968254,0.010850868125438902,1926,6,16,52,0.66,406.0,203.0
0.9819944282060651,0.8672691164427172,0.896551724137931,0.7647058823529411,0.8253968253968254,0.010850868125438902,1926,6,16,52,0.67,406.0,203.0
0.9819944282060651,0.8672691164427172,0.896551724137931,0.7647058823529411,0.8253968253968254,0.010850868125438902,1926,6,16,52,0.68,406.0,203.0
0.9819944282060651,0.8672691164427172,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.010850868125438902,1928,4,16,52,0.6900000000000001,404.0,202.0
0.9819944282060651,0.8672691164427172,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.010850868125438902,1928,4,16,52,0.7000000000000001,404.0,202.0
0.9819944282060651,0.8672691164427172,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.010850868125438902,1928,4,16,52,0.7100000000000001,404.0,202.0
0.9819944282060651,0.8672691164427172,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.010850868125438902,1928,4,16,52,0.72,404.0,202.0
0.9819944282060651,0.8672691164427172,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.010850868125438902,1928,4,16,52,0.73,404.0,202.0
0.9819944282060651,0.8672691164427172,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.010850868125438902,1928,4,16,52,0.74,404.0,202.0
